I,Window Size,Processing Time (s),Events/s,CPU (%),Memory (MB), Total Events,Cumulative Total Events
325,21,0.002104043960571289,9980.780056657224,8.2625,213.09375,,9280,9301
326,24,0.0024628639221191406,9744.7527589545,8.4125,213.09375,,9301,9325
327,21,0.002071857452392578,10135.83245109321,8.375,213.09375,,9325,9346
328,28,0.002805948257446289,9978.801257540998,8.3875,213.09375,,9346,9374
329,17,0.0016739368438720703,10155.69975786925,8.35,213.09375,,9374,9391
330,37,0.005599021911621094,6608.297053312894,9.7125,213.09375,,9391,9428
331,68,0.007162809371948242,9493.481742835269,8.5875,213.09375,,9428,9496
332,27,0.002663850784301758,10135.70285509711,8.375,213.09375,,9496,9523
333,21,0.002095937728881836,10019.381640313957,8.425,213.09375,,9523,9544
334,25,0.002529144287109375,9884.766214177978,8.4125,213.09375,,9544,9569
335,12,0.0011959075927734375,10034.22009569378,8.3375,213.09375,,9569,9581
336,19,0.0018579959869384766,10226.07160272039,8.225,213.09375,,9581,9600
337,30,0.0029191970825195312,10276.798431885005,8.275,213.09375,,9600,9630
338,28,0.0027451515197753906,10199.801285391697,8.3125,213.09375,,9630,9658
339,22,0.002547025680541992,8637.52578863615,8.8625,213.09375,,9658,9680
340,13,0.0015940666198730469,8155.242596470236,9.1125,213.09375,,9680,9693
341,17,0.002089977264404297,8134.0597764088525,9.0625,213.09375,,9693,9710
342,20,0.0023131370544433594,8646.266749123892,8.825,213.09375,,9710,9730
343,23,0.002429962158203125,9465.16797488226,8.5625,213.09375,,9730,9753
344,21,0.0020751953125,10119.529411764706,8.375,213.09375,,9753,9774
345,27,0.003110170364379883,8681.19647374473,8.8,213.09375,,9774,9801
346,17,0.0020689964294433594,8216.543904125374,9.1125,213.09375,,9801,9818
347,34,0.003804922103881836,8935.793972053387,8.775,213.09375,,9818,9852
348,23,0.0022840499877929688,10069.832150313152,8.4,213.09375,,9852,9875
349,31,0.003134012222290039,9891.473868391024,8.4,213.09375,,9875,9906
350,25,0.0024738311767578125,10105.782575173478,8.3375,213.09375,,9906,9931
351,19,0.0018620491027832031,10203.812548015365,8.325,213.09375,,9931,9950
352,27,0.002869844436645508,9408.175459001412,8.6,213.09375,,9950,9977
353,20,0.002382993698120117,8392.8044022011,8.9375,213.09375,,9977,9997
354,14,0.0026960372924804688,5192.806508666431,8.05,213.109375,,9997,10011
355,26,0.0027620792388916016,9413.198446266724,8.4625,213.109375,,10011,10037
356,14,0.0015480518341064453,9043.624826736486,8.8,213.109375,,10037,10051
357,15,0.001561880111694336,9603.810105327431,8.5,213.109375,,10051,10066
358,194,0.023493051528930664,8257.760800511483,9.0625,213.15625,,10066,10260
359,34,0.0038330554962158203,8870.208123406108,8.8125,213.15625,,10260,10294
360,25,0.0025069713592529297,9972.192106514503,8.375,213.1875,,10294,10319
361,39,0.003946065902709961,9883.261192677179,8.4625,213.1875,,10319,10358
362,14,0.0013751983642578125,10180.349514563106,8.35,213.1875,,10358,10372
363,47,0.004964113235473633,9467.954853273137,8.525,213.1875,,10372,10419
