I,Window Size,Processing Time (s),Events/s,CPU (%), Memory (MB),CPU (%)
180,100,0.008276939392089844,12081.760571494411,7.5125,242.8125,
181,100,0.00810694694519043,12335.0998441314,7.3875,242.8125,
182,100,0.008568048477172852,11671.269165484042,7.65,242.8125,
183,100,0.009664058685302734,10347.619282577589,8.1125,242.8125,
184,100,0.008887052536010742,11252.324614352783,7.775,242.8125,
185,100,0.00879216194152832,11373.766846543916,7.7,242.8125,
186,100,0.009037017822265625,11065.597298438159,7.8625,242.8125,
187,100,0.008079767227172852,12376.594175101065,7.4,242.8125,
188,100,0.008516073226928711,11742.50118984294,7.6375,242.8125,
189,100,0.01037287712097168,9640.526811777416,8.425,242.953125,
190,100,0.008815288543701172,11343.928165738087,7.775,242.953125,
191,100,0.008129119873046875,12301.45471609573,7.45,242.953125,
192,100,0.008238077163696289,12138.754956154313,7.4875,242.953125,
193,100,0.008408069610595703,11893.33635796518,7.6,242.953125,
194,100,0.008078813552856445,12378.055186660764,7.4,242.953125,
195,100,0.00836801528930664,11950.264972363098,7.4875,242.953125,
196,100,0.00860595703125,11619.85815602837,7.725,242.953125,
197,100,0.00825190544128418,12118.413221230245,7.5,242.953125,
198,100,0.008487939834594727,11781.421870172186,7.6,242.953125,
199,100,0.008096933364868164,12350.354818762698,7.4125,242.953125,
200,100,0.008501052856445312,11763.24882207763,7.55,242.953125,
201,100,0.01026296615600586,9743.771779027087,6.825,242.953125,
202,100,1.7566657066345215,56.926027315455094,6.85,243.15625,
203,100,1.1956782341003418,83.63454075522459,12.45,243.15625,
204,100,0.8341588973999023,119.88123643073631,12.4375,243.15625,
205,100,0.542468786239624,184.3424037227962,12.425,242.15625,
206,100,0.3429577350616455,291.58111853644397,12.375,241.15625,
207,100,0.10111212730407715,989.0010492932008,12.15,241.15625,
208,100,1.5277178287506104,65.45711395001618,12.4625,244.296875,
209,100,1.0459589958190918,95.6060423015817,12.4375,244.3125,
