I,Window Size,Processing Time (s),Events/s,CPU (%),Memory (MB), Total Events,Cumulative Total Events
320,5,0.0004839897155761719,10330.79802955665,8.2125,207.484375,,4832,4837
321,10,0.0010161399841308594,9841.163772876584,8.075,207.484375,,4837,4847
322,8,0.0007910728454589844,10112.848704038577,8.3,207.484375,,4847,4855
323,12,0.0011529922485351562,10407.70223325062,8.1875,207.484375,,4855,4867
324,15,0.001291036605834961,11618.570637119114,7.525,207.484375,,4867,4882
325,12,0.0009889602661132812,12133.955641272903,7.6125,207.484375,,4882,4894
326,12,0.00096893310546875,12384.75590551181,7.4875,207.484375,,4894,4906
327,13,0.0010690689086914062,12160.114183764495,7.575,207.484375,,4906,4919
328,14,0.0011219978332519531,12477.74245643859,7.4125,207.484375,,4919,4933
329,12,0.0009660720825195312,12421.433366238894,7.4,207.484375,,4933,4945
330,21,0.0017547607421875,11967.44347826087,7.525,207.484375,,4945,4966
331,23,0.0018811225891113281,12226.741698352345,7.475,207.484375,,4966,4989
332,11,0.0008990764617919922,12234.77698223283,7.3125,207.484375,,4989,5000
333,17,0.0013661384582519531,12443.833856893543,7.3375,207.484375,,5000,5017
334,15,0.0012040138244628906,12458.328712871287,7.4375,207.484375,,5017,5032
335,8,0.0006611347198486328,12100.408222142085,7.375,207.484375,,5032,5040
336,9,0.00074005126953125,12161.319587628866,7.3875,207.484375,,5040,5049
337,5,0.00041794776916503906,11963.217341699943,7.325,207.484375,,5049,5054
338,10,0.0007960796356201172,12561.55735250075,7.4375,207.484375,,5054,5064
339,9,0.0007250308990478516,12413.264057875698,7.6125,207.484375,,5064,5073
340,16,0.0013179779052734375,12139.808972503617,7.5625,207.484375,,5073,5089
341,9,0.0007460117340087891,12064.153403643337,7.35,207.484375,,5089,5098
342,12,0.0010371208190917969,11570.493793103447,6.95,207.484375,,5098,5110
343,12,0.0009789466857910156,12258.073063809059,7.3875,207.484375,,5110,5122
344,19,0.0015208721160888672,12492.832105345666,7.45,207.484375,,5122,5141
345,22,0.002110004425048828,10426.518418079097,8.0875,207.484375,,5141,5163
346,14,0.0012638568878173828,11077.203546500661,7.95,207.484375,,5163,5177
